纯阳武神,十步行,https://book.qidian.com/info/3657207,连载中,3740600,玄幻,1149300,1572400,57600
漫威世界的术士,火之高兴,https://book.qidian.com/info/1004995908,连载中,1197300,奇幻,530600,1984300,241600
太初,高楼大厦,https://book.qidian.com/info/1010399782,连载中,1102900,玄幻,5860700,2012700,300000
红楼之庶子风流,屋外风吹凉,https://book.qidian.com/info/1010177519,连载中,897900,历史,204700,1080600,334400
大数据修仙,陈风笑,https://book.qidian.com/info/1010737835,连载中,997200,仙侠,704800,1801800,274400
仙药供应商,糖醋于,https://book.qidian.com/info/1004879785,连载中,1578100,都市,391800,1767800,142000
霸皇纪,踏雪真人,https://book.qidian.com/info/3494835,连载中,3830899,玄幻,437900,64,57600
武侠世界大穿越,我叫排云掌,https://book.qidian.com/info/3573944,连载中,8349700,科幻,578000,1954900,207600
无限先知,吴杰超,https://book.qidian.com/info/1010144088,连载中,1250700,玄幻,223900,1844800,304000
寒门状元,天子,https://book.qidian.com/info/3683163,连载中,6167000,历史,973400,2933000,89600
奋斗在红楼,九悟,https://book.qidian.com/info/1003527026,连载中,3007799,历史,1632400,2268000,49200
黑科技研发中心,凡核桃,https://book.qidian.com/info/1010368052,连载中,1395400,都市,208100,1875800,242396
大唐贞观第一纨绔,危险的世界,https://book.qidian.com/info/1004984707,连载中,3252100,历史,175200,1433300,156800
幻想世界大穿越,辰一十一,https://book.qidian.com/info/3542798,连载中,2497100,科幻,774599,2548100,268000
变身路人女主,醉卧笑伊人,https://book.qidian.com/info/1009383057,连载中,1513200,二次元,581400,1147700,122400
未来天王,陈词懒调,https://book.qidian.com/info/1004936518,连载中,1107000,科幻,3586600,2113000,265600
我从凡间来,想见江南,https://book.qidian.com/info/3577214,连载中,3493700,仙侠,1976000,4784100,160400
强人,张小花,https://book.qidian.com/info/1010860472,连载中,398100,都市,212100,651400,54000
我家客人你惹不起,烽火成林,https://book.qidian.com/info/1009406397,连载中,1536699,都市,158500,1637500,253600
我的身体有bug,不是浮云,https://book.qidian.com/info/1010044301,连载中,1529000,游戏,274500,1540800,130396
我是全能大明星,天下第一白,https://book.qidian.com/info/1005313386,连载中,2141900,都市,324099,1206100,121600
国产英雄,傲无常,https://book.qidian.com/info/3544491,连载中,3838700,都市,511800,1528700,52400
限制级巨星,不如踢球,https://book.qidian.com/info/1004600033,连载中,2655299,体育,764700,1331200,108000
仙界科技,想枕头的瞌睡,https://book.qidian.com/info/1009845993,连载中,1685400,都市,163299,1423600,134400
天影,萧鼎,https://book.qidian.com/info/1003723851,连载中,1746399,仙侠,14593900,12046000,163200
抗日之铁血智将,574981,https://book.qidian.com/info/1005042490,连载中,2764600,军事,119200,1013900,101600
重生之魔教教主,封七月,https://book.qidian.com/info/1010968945,连载中,790300,武侠,381599,3673500,750000
重生之最强剑神,天运老猫,https://book.qidian.com/info/3471716,连载中,4915300,游戏,841400,2761000,175600
国际制造商,二将,https://book.qidian.com/info/1010236126,连载中,1497500,都市,270900,2063500,386000
放开那个女巫,二目,https://book.qidian.com/info/1003306811,连载中,2416500,奇幻,5061400,5834800,901600
奶爸的文艺人生,寒门,https://book.qidian.com/info/1009915605,连载中,2532100,都市,1763899,9734600,1024400
民国之文豪崛起,王梓钧,https://book.qidian.com/info/1005064061,连载中,2073400,历史,2602900,5474500,983600
道君,跃千愁,https://book.qidian.com/info/1005236478,连载中,2428000,仙侠,4467000,5024400,949596
我的1979,争斤论两花花帽,https://book.qidian.com/info/1003541158,连载中,2688900,都市,4525100,7806100,1070800
极道天魔,滚开,https://book.qidian.com/info/1005401501,连载中,2597900,仙侠,3048200,5422000,689200
斗战狂潮,骷髅精灵,https://book.qidian.com/info/1003694333,连载中,2727600,仙侠,21167500,21017800,586000
重生之都市修仙,十里剑神,https://book.qidian.com/info/3548786,连载中,3618300,都市,2613700,6038800,608000
凡人修仙之仙界篇,忘语,https://book.qidian.com/info/1010734492,连载中,730100,仙侠,4470200,14516800,2665600
一念永恒,耳根,https://book.qidian.com/info/1003354631,连载中,3690400,仙侠,16958000,19545300,313200
重生之财源滚滚,老鹰吃小鸡,https://book.qidian.com/info/1003580078,连载中,6464900,都市,1370600,5768400,689596
带着仓库到大明,迪巴拉爵士,https://book.qidian.com/info/1004185492,连载中,4512800,历史,2074100,8417300,1137200
