userName,roomName,category,audience,roomUrl
小小怪将军丨,峡谷之巅,lol,10820,https://www.panda.tv/969704
奈暖同学,这么晚 来学学上单不好吗。,lol,15397,https://www.panda.tv/680929
国服第一小妖姬,网一娱乐.,lol,15169,https://www.panda.tv/746680
汉泽哥哥,网二大师冲刺王者,lol,10384,https://www.panda.tv/43607
阿拉神灯咯,新模式~　　耍会儿        ,lol,10273,https://www.panda.tv/643558
宇琪宝宝最酷,熊猫大X强。,lol,10198,https://www.panda.tv/17235
乡村蝙蝠侠Zzz,国服电1大师王者局输一局送100QB,lol,8605,https://www.panda.tv/391749
姜白白y,还会记得我吗？,lol,7370,https://www.panda.tv/757825
WIC_Professor,教授：一个天才型选手正在直播,lol,6977,https://www.panda.tv/874848
丨丶Do,异军突起 爱玩海洋的卡特打野 √,lol,6049,https://www.panda.tv/661662
好难赢,峡谷之巅 坑一波,lol,6014,https://www.panda.tv/360400
biubiubiupapapa,网二钻石段 俯冲 干大师 揍王者,lol,5298,https://www.panda.tv/918202
东北老炼金,低配版孙亚龙，有头发的孙亚龙,lol,5120,https://www.panda.tv/686005
BloodyMan,《策士统领-斯维因》,lol,4855,https://www.panda.tv/301430
风来潇丶Yasuo,8月10号中午12点播放假2天,lol,4850,https://www.panda.tv/251013
叫我sao航哥哥,很强很强,lol,4718,https://www.panda.tv/674834
熊猫TV丶诡术符晓,诡术姬神.单双排,lol,4677,https://www.panda.tv/775446
一飞同学丶,一飞卡特：偷偷的打峡谷之巅,lol,4662,https://www.panda.tv/331202
一叶舞秋殇,.....,lol,4392,https://www.panda.tv/906371
阿钰大姐姐,回学校啦，不要想我=-=,lol,4104,https://www.panda.tv/428517
为了更大的良善,主播不定时在线打游戏,lol,3785,https://www.panda.tv/630429
宇宙大表哥,恭喜WE 我也想有个妹妹 能天天五杀,lol,368543,https://www.panda.tv/10605
花丶小乐,最强冰鸟泰国时间早7点准时开播,lol,84287,https://www.panda.tv/15403
lol稳贱骨炼金,一人我断三路，团战我扛不住,lol,33209,https://www.panda.tv/29193
秘密潜入,看主播如何被打成狗系列,lol,22159,https://www.panda.tv/156303
熊猫tv啊禹,我去D.yu1935179了,lol,15872,https://www.panda.tv/58893
狂拽炫酷二二狗er,"小丑打野，单排战士,电一白金事情。",lol,12780,https://www.panda.tv/425091
红茶gg丶,原谅帽螳螂：新人免费锤。,lol,12590,https://www.panda.tv/870040
审判天使金牌讲师,停播了 有事加群吧。。,lol,12263,https://www.panda.tv/411350
畏来风Zyo,愿你熬的所有夜都有人陪。,lol,10539,https://www.panda.tv/307946
熊猫TV丶悟道,熊猫TV丶悟道,lol,9858,https://www.panda.tv/208269
巨臀大肚超zzz,无限火力嗨起来~~~,lol,9123,https://www.panda.tv/530788
米m神,熊猫第一安妮：调整状态。,lol,8868,https://www.panda.tv/1071762
娱乐主播文,国服娱乐全能王！,lol,8140,https://www.panda.tv/679369
男粉丝很多的阿彤,阿彤OB：EDG/扣肉/荡荡/腿子,lol,7218,https://www.panda.tv/597460
菊菊菊长,菊长:换地方。不知道的加q群吧,lol,6669,https://www.panda.tv/624309
山沟里的放牛娃,欢迎来到孤儿院,lol,6071,https://www.panda.tv/12209
DayBreakNe丶,2222,lol,5259,https://www.panda.tv/480340
熊猫TV丶酒哥,啤酒哥 抠脚僧 不喝多不会玩的自我,lol,5044,https://www.panda.tv/311511
熊猫TV丶成小七,抓紧拿框了,lol,4910,https://www.panda.tv/899648
,一个E 2000多血的无情英雄~~,lol,4910,https://www.panda.tv/928950
付小翁,16号早上7点半不见不散咯,lol,174734,https://www.panda.tv/10387
熊猫TV一休哥,发财TV熊猫第一抽奖手一休哥Day9,lol,149622,https://www.panda.tv/279344
福孩,是的我又回来直播了！,lol,36776,https://www.panda.tv/174101
七彩皮皮隔路漫,直播上fen真的土.我直播掉段,lol,26758,https://www.panda.tv/920532
徐文长,网三中路,lol,23585,https://www.panda.tv/562075
金三炮o金三岁,国服第一金克丝R闪百分百胜率极限走A,lol,19738,https://www.panda.tv/824109
熊猫户外丶遥哥,遥哥:钓鱼就四个字：“干就完了”,lol,18884,https://www.panda.tv/352267
岩雀的绊脚石,来搞事情么,lol,15462,https://www.panda.tv/273208
熊猫738307丶帅猴,最强猴王中单 光速EAQ一秒五棍千伤,lol,14474,https://www.panda.tv/738307
周周腿很长很长,周周阿;苦练打野,lol,13376,https://www.panda.tv/264858
神少奥拉夫,不玩奥拉夫,lol,12367,https://www.panda.tv/122439
熊猫星弟丶619725,星弟锤石：暂时不开播了，等下月再说。,lol,11548,https://www.panda.tv/619725
专家大哥,我就是你的末日！专家大哥,lol,11122,https://www.panda.tv/11029
飞向月球的荷包蛋,"荷蛋:暴躁武器,日常1血教你无形装b",lol,10967,https://www.panda.tv/423981
蛋蛋蛋老板,我家橙汁儿感冒了咋办,lol,10507,https://www.panda.tv/253041
颜值扛把子安迪,【安迪】：王者小丑分分钟抓穿3路,lol,10256,https://www.panda.tv/446766
,干就完了 。,lol,9862,https://www.panda.tv/240693
无双灬哥,国服第一送分网 赶紧抢板凳来,lol,9785,https://www.panda.tv/616440
孙大泽丶,大泽:无聊，玩会亚索吧~,lol,9507,https://www.panda.tv/146693
纯纯小流_氓,电一，艾欧尼亚~~,lol,9344,https://www.panda.tv/264616
MISS丶可乐,国服第一混,lol,45255,https://www.panda.tv/593107
肉baby,离开是很长的决定。,lol,12994,https://www.panda.tv/489782
我姓张我很脏,太原老瞎子~~~,lol,11734,https://www.panda.tv/620768
夏zZ天,夏天：勇敢的心,lol,11209,https://www.panda.tv/91339
不摔跤的Kassadin,10000场王者卡萨光速R闪AWEQ,lol,10668,https://www.panda.tv/166570
94年的Pisces,词穷...,lol,9799,https://www.panda.tv/541711
化石小刘,某不知名快乐主播：遁入法门 勿杀人！,lol,8945,https://www.panda.tv/747261
会Gank的300块,噜噜噜噜~,lol,8830,https://www.panda.tv/733039
总以为毕业无期,我的酒桶只玩几何《主播会唱歌》,lol,6795,https://www.panda.tv/823001
熊猫TV黄二狗,运城打野教学！,lol,5759,https://www.panda.tv/698619
熊猫TV丶呀买蝶灬,国服第一大眼。,lol,5242,https://www.panda.tv/293261
爱搞事的影子,玩玩狼人吧还是，,lol,4895,https://www.panda.tv/628051
恶魔小丑丶念影,念影：熊猫最强小丑，单排冲分！！,lol,4483,https://www.panda.tv/618126
阿峰呐,韩服钻1打野教学,lol,4077,https://www.panda.tv/85533
熊猫卡特值得观看,小陀螺：总有一天会回归,lol,4031,https://www.panda.tv/534241
大捷捷,网5冲白金  龙虾 bgm 超好听,lol,3868,https://www.panda.tv/389170
洒脱锐雯er,锐雯是我的信仰~,lol,3367,https://www.panda.tv/324939
兄弟门都叫我威哥,只会中单,lol,3256,https://www.panda.tv/1109110
你的先生丶,这游戏只能靠自己,lol,3140,https://www.panda.tv/1356473
九哥Carry,九哥。挑战所有ADC,lol,3017,https://www.panda.tv/571923
旭神大魔王丶,中单乌鸦，上单潘森,lol,100331,https://www.panda.tv/634309
魔剑神无敌,18888场超级邪恶小法师 88胜率,lol,32136,https://www.panda.tv/223679
Kaixin兰博,开心：中单兰博！,lol,15159,https://www.panda.tv/92727
BOBOBO0,电一充分中！~~~,lol,12086,https://www.panda.tv/256634
短粗的雪茄,和我儿子父子双排！白银冲大师！,lol,12073,https://www.panda.tv/207257
阿康5,蛇皮走位的艾迪西,lol,11631,https://www.panda.tv/576416
Invincible阿伦呦,31799直播间,lol,10067,https://www.panda.tv/31799
我家T,默默的零人气主播,lol,10054,https://www.panda.tv/570618
解说丶听雨,熊猫第一死歌瞬间爆炸,lol,10018,https://www.panda.tv/851107
TonG索神,NPL     一点点,lol,9994,https://www.panda.tv/451138
温柔狗哥无情AD,大师王者局飘逸AD兼灵魂歌手,lol,9407,https://www.panda.tv/614209
石家庄_毅坤,"备战春季百城,训练中...",lol,8550,https://www.panda.tv/735828
熊猫TV灬大表哥,我有故事，你的酒呢！！,lol,8026,https://www.panda.tv/598554
熊猫TV丶凉欢,一个努力的人！,lol,7912,https://www.panda.tv/84641
国际庄丶王提莫,最强小法,lol,7612,https://www.panda.tv/572899
熊猫Tv叼叼炼金,地主家的傻炼金，可笨可笨了呢,lol,7055,https://www.panda.tv/66371
大兔er,大兔er啦啦啦,lol,6875,https://www.panda.tv/621708
中单彼岸艾克,相隔一年 今来相见 不变的彼岸,lol,5910,https://www.panda.tv/509459
熊猫TV丶叶芯儿,网四主播第一天（感冒状态不好）,lol,5879,https://www.panda.tv/597232
熊猫TV坦克王,网6第一狗头闯峡谷之巅,lol,5755,https://www.panda.tv/682290
Panda丶TheShy,Theshy 最后一天直播 感谢大家,lol,197257,https://www.panda.tv/111111
朱京炼金,单排王者送死流炼金,lol,57820,https://www.panda.tv/16947
Love丶Binger,D1男枪,lol,10781,https://www.panda.tv/286447
鱼滚滚,我修仙归来,lol,8487,https://www.panda.tv/689129
糯米欧尼,一个爱唱歌的小糯米,lol,8320,https://www.panda.tv/660343
希文Vvv,娱乐主播的修仙时间,lol,8011,https://www.panda.tv/1329460
又沫又沫,熊猫第一钓鱼执法下路，一个烤鱼选英雄,lol,7538,https://www.panda.tv/1180196
洛圣毒最帅Lynn,瓜皮冉：嘘，别说话！,lol,5933,https://www.panda.tv/89033
盲僧强,718611直播间,lol,5715,https://www.panda.tv/718611
大芮芮,GraceAngel芮芮,lol,5131,https://www.panda.tv/61001
青小灵夕,韩服低分段排位的日常,lol,5004,https://www.panda.tv/969748
荔枝款款,进来吃个荔枝再走吧,lol,4948,https://www.panda.tv/662696
四千年的生煎馒头,NA新人王漫游_OvO,lol,4337,https://www.panda.tv/812598
,一年多没直播了,lol,3523,https://www.panda.tv/358269
喵星喵喵酱,英国留学少女喵喵的欧服之旅,lol,3500,https://www.panda.tv/730690
磨剑成矛i,刺客教学,lol,3451,https://www.panda.tv/561897
别怪我了,韩服钻石组精通打野位！,lol,3013,https://www.panda.tv/842589
菜芽丶,开车了！主播最帅！,lol,2906,https://www.panda.tv/943144
,小安安 : 不是什么第一的发条,lol,2887,https://www.panda.tv/427299
Charles__V,告别熊猫，12月看情况回归,lol,2744,https://www.panda.tv/642411
卢志强品期货,卢志强品期货的直播间,finance,246,https://www.panda.tv/617145
张杨股道,雾霾是个伪命题,finance,14,https://www.panda.tv/643906
饃髥,741362直播间,finance,11,https://www.panda.tv/741362
,KOKLAN 黄金投资者联盟,finance,10,https://www.panda.tv/732982
感应神股,草根股民——普通话正在解析股票,finance,9,https://www.panda.tv/1440674
jlm123456,逻辑思维-简单交易,finance,6,https://www.panda.tv/594278
请叫我大树吧,送你强制提额好方法,finance,5,https://www.panda.tv/1281939
新疆时时彩,新疆时时彩的直播间,finance,2,https://www.panda.tv/1048518
