userName,roomName,category,fans,roomUrl
谁是谁的鱼,我在这里，你在哪？,方舟,169,http://www.huya.com/15504782
虎牙小逗逼,qq_vwj4ru1xgsui的直播间,王者荣耀,40,http://www.huya.com/1975809251
繁华世界,┆「 繁  华 」  进来就上车吃鸡     ,绝地求生,34,http://www.huya.com/1228154096
坤哥,虎牙直播,其他直播,5,http://www.huya.com/2062375887
战斗,魅力直播间,王者荣耀,270,http://www.huya.com/1756118194
末,G°«季  末» ❤°钻石炼金3000场  ,英雄联盟,8,http://www.huya.com/2096566
红亮,虎牙直播,其他手游,229,http://www.huya.com/2060675921
Limbo,┃⊱ limbo‥                             ┃,鬼泣5,614,http://www.huya.com/limbo123123
AD西霞,║♂ 暴  走：冲分ADC                  ║,英雄联盟,60,http://www.huya.com/1596992751
乘风飞,小象—cff2016258的直播间,王者荣耀,131,http://www.huya.com/1916396218
菜的抠脚,骚起来的直播间,丛林法则,83,http://www.huya.com/2096300026
House,息c的直播间,野蛮人大作战,209,http://www.huya.com/1814691408
毒狼,║3013 — 绿圈大神 — 木  木 — 木  木  ║4608,魔兽DOTA1,43,http://www.huya.com/2004829648
晴天小猪灬,║3749 — 三国战纪 — 小  猪 — 晴天小猪║7780,主机游戏,159,http://www.huya.com/2068623174
孤独的白狼,虎牙直播,王者荣耀,7352,http://www.huya.com/2081052580
野痞浪人,虎牙直播,球球大作战,99,http://www.huya.com/1914355287
浪子,┃１.认证大神┆水手达人竞速--应聘Ｙ群8513999 ┃,地下城与勇士,94,http://www.huya.com/1157654294
虎牙丨外星人灬90684,┆  小  飞 ：招收老板冠名         　　　┆,绝地求生,170,http://www.huya.com/2022144246
虎牙、飞飞,NICe、飞飞的直播间,贪吃小怪物,11646,http://www.huya.com/shrnfei
紫焱,虎牙直播,其他直播,6,http://www.huya.com/326287243
谁主沉浮,1917921723yy的直播间,王者荣耀,10685,http://www.huya.com/1917921723
虎牙丶Mathiew,虎牙丶Mathiew的直播间,王者荣耀,52,http://www.huya.com/2082370303
贾小峰,│ 贾小 峰 ：虎牙飞车最骚道具-。-,QQ飞车,29,http://www.huya.com/1510256086
神少年,┆ ‹  神少年  ›  ¨ 请对我全力以赴         ┆,魔兽DOTA1,50,http://www.huya.com/shenshaonian
爱玩-美丽,┊‹M› 美  丽 ✎ 千元以上榜一冠名     ┊,天龙八部手游,110429,http://www.huya.com/680867826
辉浩-乐乐, «乐  乐»  本直播间千元榜冠名,梦三国,269,http://www.huya.com/146005870
香橙丶雅安,  ┊  ‹ 雅  安 ›  英雄联盟主播    ”,绝地求生,165,http://www.huya.com/739230169
蚂蚁丶圣君-90365,┊ 大 圣 君  ¨ 游戏娱乐只为一笑,方舟,6197,http://www.huya.com/xiaoxiaxia99
杨气,║«涩昔流» :::  冒险岛2搬砖diy,冒险岛2,21,http://www.huya.com/1980599264
假装在地球,⊱ 阿  阳‥                                 ,看门狗2,1693,http://www.huya.com/makevin
浮华之世,┊   喵喵         ¨   RPG直播间      ┊,魔兽DOTA1,161,http://www.huya.com/21618922
安静,安静.的直播间,CF手游,91,http://www.huya.com/2088403115
虎牙小菜鸟,口昌占戈哥欠的直播间,王者荣耀,40,http://www.huya.com/2060706152
宇宝宝啦啦,陈宇y-,王者荣耀,95,http://www.huya.com/1960401979
MC帅图图,　　  　♬»>  远  航 ： 新主播求订阅,星秀,1410,http://www.huya.com/1712027293
教主,┊  ⊱ 教    主 ＂  QQ飞车手游,经典怀旧,1368,http://www.huya.com/1579827792
